fecha,NO_CEDULA,FRECUENCIA,VENTA_NETA,VENTA_NETA_DIGITAL,FACTURAS_TOTAL,FACTURAS_DIGITAL,TICKET_PROMEDIO_TOTAL,TICKET_PROMEDIO_DIGITAL,CL_CALL,CL_COM,CL_APP,CL_TIENDA,flag_digital
2023-11-13,2099776747,0,,66844796.46,,87050416,,41238421.63,1,4,4,1,True
2023-11-17,2138140367,2,12654015.67,,43805893,,26372561.17,,4,5,4,3,False
2023-11-19,1458595492,4,72741109.22,,20622213,,3998480.26,,2,2,4,2,False
2023-11-19,3704987416,4,69860687.61,,48176990,,11157252.7,,3,4,1,5,False
2023-11-16,1061334270,5,,59696209.81,,83159574,,62165902.65,5,3,5,3,True
2023-11-16,1666252758,8,,42129297.46,,60076468,,91692933.59,5,5,4,0,True
2023-11-16,2247954261,10,,93652311.72,,96910962,,5799900.39,1,0,1,4,True
2023-11-17,1837337833,1,,87931916.96,,71007122,,69101025.73,2,1,1,4,True
2023-11-15,2880064411,1,,31750062.64,,12181469,,63300339.07,0,5,0,5,True
2023-11-17,1351723763,6,85112007.38,,25015268,,35464510.78,,3,4,4,1,False
2023-11-15,3916799747,3,,13135728.0,,77077766,,24319275.05,3,2,1,4,True
2023-11-13,2680385288,10,89811144.19,,4362587,,78755610.25,,4,0,3,1,False
2023-11-13,2433488171,3,93896905.41,,13346992,,92380421.26,,1,0,4,0,False
2023-11-15,1123369513,7,59858903.8,,46251585,,45812550.22,,0,5,0,1,False
2023-11-13,3321662261,8,26417343.78,,96152556,,64472516.08,,2,3,5,3,False
2023-11-13,2373236143,6,48943705.43,,20483066,,78332112.32,,4,2,4,4,False
2023-11-13,3398067342,10,19628184.84,,32493286,,25956707.76,,3,0,4,5,False
2023-11-14,2265210441,9,,69998899.06,,24961504,,55619359.15,2,5,2,2,True
2023-11-16,2721511444,3,,72146834.32,,25772950,,5375351.54,0,4,5,3,True
2023-11-14,2952554376,4,,2629391.72,,28025490,,61027151.52,1,1,2,0,True
2023-11-18,1776867423,2,,8624164.06,,10656356,,34353688.3,2,2,3,3,True
2023-11-16,1288707165,2,,76459853.96,,96311768,,73638718.94,0,2,5,5,True
2023-11-16,1657804244,6,80306422.95,,39727893,,54259869.41,,4,0,4,3,False
2023-11-18,2223062200,9,93457424.25,,30323774,,30488108.88,,5,5,2,0,False
2023-11-17,2168584755,4,,70299562.45,,50244566,,69655153.88,4,0,0,2,True
2023-11-18,3539428016,1,34476571.4,,35481488,,12332796.41,,3,2,2,1,False
2023-11-19,2606033810,5,,51568252.73,,28612205,,54453381.64,2,3,0,5,True
2023-11-16,3167839583,3,,96151099.95,,42786573,,2406657.17,1,5,5,3,True
2023-11-18,1641902746,0,,50353467.06,,49435543,,11221037.14,3,4,3,1,True
2023-11-13,3529782028,0,,22975385.76,,20857069,,2118218.75,4,3,0,1,True
2023-11-13,2176382354,6,,29483845.37,,2772948,,58542096.23,0,1,5,3,True
2023-11-16,3515055058,9,31750522.07,,24392602,,93784971.6,,4,2,2,3,False
2023-11-19,2569066105,3,,67799091.35,,77747195,,28966992.84,2,3,5,1,True
2023-11-17,2509895937,3,24927094.78,,50667102,,23088617.8,,1,5,4,1,False
2023-11-16,3040614132,8,,60318626.89,,85460161,,35931449.57,3,3,2,1,True
2023-11-19,1009097587,0,,88800792.9,,56365200,,81889721.1,5,3,2,5,True
2023-11-18,1979565072,4,,86534244.43,,65264269,,62901299.79,5,5,3,2,True
2023-11-17,1239440112,4,,62915663.71,,47759819,,37638906.28,0,3,0,0,True
2023-11-15,1122041059,9,,42285707.01,,44708662,,26740547.69,0,3,0,4,True
2023-11-16,3744510019,3,74614194.03,,13551465,,88300098.01,,5,2,4,5,False
2023-11-13,3615112793,2,19913833.47,,40118191,,17848750.75,,5,2,3,3,False
2023-11-19,2019465274,1,,89771274.22,,28383135,,53476391.87,4,4,4,1,True
2023-11-18,1339079532,10,36754335.95,,75782066,,6236126.24,,0,0,3,2,False
2023-11-18,1892316814,7,,7392481.85,,92579837,,13442988.4,5,1,1,3,True
2023-11-17,3232120233,5,34454738.65,,18301366,,41974812.39,,4,2,2,1,False
2023-11-15,1144496173,10,,71087044.63,,93190722,,7114414.06,2,3,4,0,True
2023-11-18,3633526645,1,9669327.07,,68816246,,99623665.85,,2,5,4,0,False
2023-11-17,1366619075,6,82958821.81,,41829339,,80375534.66,,3,1,3,0,False
2023-11-13,3462708691,5,,69894533.24,,60527692,,11108172.66,0,5,3,0,True
2023-11-13,2477182346,0,,40713284.19,,37466535,,99157296.99,1,5,2,3,True
2023-11-13,2141436378,4,11913113.12,,51251920,,39245493.52,,1,3,2,1,False
2023-11-13,1730016118,5,,46028379.19,,14400178,,30544710.52,0,4,0,4,True
2023-11-19,1840257536,0,15549845.52,,9530243,,55300774.13,,5,1,3,5,False
2023-11-19,3304218849,6,1971889.31,,48946371,,22284231.25,,5,2,4,2,False
2023-11-15,1215231525,4,97996144.42,,39405454,,42555204.49,,5,2,2,4,False
2023-11-18,3252365262,5,,98395610.87,,88786447,,5430031.11,4,3,2,4,True
2023-11-15,2252278510,4,,76647753.13,,90230359,,64133686.04,4,0,3,3,True
2023-11-19,1703730677,4,71340965.67,,50238770,,60058324.66,,3,4,0,3,False
2023-11-16,2920041260,9,36765407.96,,7297269,,13578314.01,,1,3,1,1,False
2023-11-16,1060129405,10,,78264003.97,,20079981,,52282278.89,2,5,2,5,True
2023-11-13,2753478170,0,,21385899.22,,79702748,,54367883.01,3,1,5,3,True
2023-11-16,1211425422,2,48468663.34,,91975916,,70869656.62,,2,1,0,4,False
2023-11-17,1638424108,8,,52500996.03,,57583408,,61030952.55,5,5,4,5,True
2023-11-13,1556345054,10,16029262.44,,10836923,,28477612.5,,4,4,0,5,False
2023-11-16,1535720553,3,42312799.79,,24047249,,84389400.62,,3,2,4,5,False
2023-11-16,2253557405,5,,55627731.11,,25149384,,66352941.36,2,4,4,0,True
2023-11-13,3937518719,3,41580214.29,,99330658,,44827541.49,,2,5,2,5,False
2023-11-14,2432794369,8,43549113.32,,70778942,,46820230.82,,4,1,2,3,False
2023-11-16,1704829539,4,,70286409.13,,73598506,,52947982.3,4,4,4,0,True
2023-11-15,1551130215,5,72776030.88,,97773621,,969440.67,,1,0,4,2,False
2023-11-19,1272012514,3,,17537156.88,,89920025,,65931087.34,5,3,4,4,True
2023-11-14,2326424222,4,34069078.02,,95015279,,69359550.89,,4,5,5,4,False
2023-11-16,3256687614,2,,61335417.71,,7248328,,98419584.08,3,5,2,0,True
2023-11-14,2754269433,4,,55728703.55,,13417294,,89210565.79,0,5,4,4,True
2023-11-16,2227829297,8,85589149.71,,96172958,,6221082.5,,1,0,3,1,False
2023-11-14,1521506559,9,,98329070.68,,90181505,,53639322.12,1,1,1,0,True
2023-11-16,2347318142,4,15938430.96,,21803853,,98514964.21,,4,2,5,3,False
2023-11-18,3040285587,1,36926952.96,,40211532,,11426801.17,,5,3,0,3,False
2023-11-18,1043301834,1,9321126.41,,98790168,,20531132.4,,1,0,2,3,False
2023-11-16,3314948374,5,72138107.75,,17040021,,82150546.7,,5,5,3,4,False
2023-11-14,2248235710,1,38212044.13,,87404650,,32469897.49,,2,1,0,0,False
2023-11-14,2626304722,4,,25877702.5,,83492202,,86503270.78,1,1,4,2,True
2023-11-17,2598694938,9,85439830.95,,71352063,,59683283.36,,0,1,2,3,False
2023-11-15,2732043584,10,2894754.34,,22843731,,768253.34,,4,3,3,4,False
2023-11-13,1375988794,10,29804107.59,,96462826,,70188784.15,,4,3,3,1,False
2023-11-18,3873362048,2,77474009.93,,62444535,,64634028.59,,4,3,5,3,False
2023-11-15,1929884702,9,,61786233.06,,87183999,,77047328.5,2,5,0,1,True
2023-11-15,2053399956,2,26753329.88,,30477153,,48674215.45,,4,0,5,1,False
2023-11-19,2504016582,1,16716362.18,,73164589,,48250120.09,,0,1,5,1,False
2023-11-14,2227856395,2,,68859581.81,,5529315,,28409466.94,0,2,1,0,True
2023-11-14,3332401377,1,,19613201.5,,11604843,,57173933.51,4,2,1,2,True
2023-11-14,2582833744,5,70590656.79,,64536761,,73699063.07,,2,4,5,1,False
2023-11-19,1073827828,8,,32153122.48,,20089181,,50727845.38,2,5,2,1,True
2023-11-17,3288615327,5,,12254841.42,,7028559,,93968354.37,5,5,4,1,True
2023-11-17,2893725604,5,,21537095.65,,42873958,,3893153.66,0,5,1,0,True
2023-11-14,2495963923,10,,83540860.81,,98446004,,88961230.45,4,2,4,0,True
2023-11-15,1388804514,3,87232780.42,,19220787,,27712595.89,,1,0,3,0,False
2023-11-19,2466136832,0,,23953754.6,,94672335,,19935076.77,4,3,1,5,True
2023-11-15,1207207189,6,,36838083.61,,941646,,77276715.89,0,3,3,5,True
2023-11-18,1918391112,9,71504492.37,,95574040,,69846502.74,,1,3,0,2,False
2023-11-19,1343397648,2,,99099005.71,,44537636,,67610498.78,5,1,3,0,True
2023-11-19,2767387550,8,,21266036.12,,85299719,,96986388.99,2,0,0,0,True
2023-11-15,1953032320,0,76473006.75,,69695965,,27725964.3,,0,0,1,2,False
2023-11-13,3687992585,3,,45461326.74,,19151464,,8602289.37,2,3,5,1,True
2023-11-13,3163621293,1,,48703708.76,,29386075,,29631961.73,3,1,3,1,True
2023-11-16,2639282620,9,18888411.0,,63064699,,10012604.32,,1,1,1,3,False
2023-11-16,3513082839,5,40297820.01,,50939948,,52189617.7,,5,2,2,4,False
2023-11-13,2494817151,10,,31998559.52,,79791849,,42186727.33,4,0,4,1,True
2023-11-14,2777789789,4,,99691850.2,,80426715,,99880476.25,2,5,2,5,True
2023-11-14,1511967135,2,,85101748.61,,35303917,,44896512.28,5,3,4,3,True
2023-11-15,3796565426,1,56824325.37,,40192220,,58404295.04,,1,2,2,2,False
2023-11-18,1061202362,9,,69865203.11,,62400386,,6607668.16,1,5,0,0,True
2023-11-14,2028379974,1,,73462181.66,,96177605,,26197405.01,3,0,4,4,True
2023-11-16,2940997773,0,,82028056.85,,84813458,,39273498.66,2,3,4,3,True
2023-11-13,3199938972,8,70410833.82,,1843693,,55286425.39,,3,0,1,1,False
2023-11-15,3144329710,8,,80583070.69,,13867198,,35947457.43,1,3,4,0,True
2023-11-19,3972040311,9,70164340.62,,64242100,,506932.68,,4,2,0,4,False
2023-11-17,3268440432,8,,4292119.11,,23151353,,48543388.01,3,1,4,5,True
2023-11-13,2677465802,2,,85700108.38,,65471017,,5836402.72,1,2,5,0,True
2023-11-16,3970691433,3,,20029771.39,,62032448,,61350547.42,0,0,2,4,True
2023-11-18,2681209630,1,,19376379.72,,73399030,,27662882.49,1,5,2,2,True
2023-11-16,3590803902,5,,42222210.78,,53505517,,52959934.31,4,1,4,3,True
2023-11-16,2095293531,10,,138566.1,,39332062,,58738849.37,4,4,5,4,True
2023-11-13,3365341278,6,,49598939.29,,18088827,,88714012.69,5,1,3,2,True
2023-11-16,1455116494,0,85548753.31,,75631603,,3361837.68,,1,0,0,3,False
2023-11-17,2557120445,7,,7581056.22,,40239887,,34057906.28,5,0,2,3,True
2023-11-18,3533272709,7,87472836.84,,17657987,,44255733.72,,0,5,4,4,False
2023-11-14,1848107853,6,,91287104.76,,35286291,,2784397.13,4,1,5,3,True
2023-11-17,1956491218,0,73734650.2,,56371736,,20897629.55,,4,5,1,4,False
2023-11-19,3095752046,6,285485.51,,25193474,,6859760.75,,1,3,1,4,False
2023-11-19,2418759079,4,8209264.22,,14304646,,76257145.28,,4,1,1,5,False
2023-11-13,2404886495,5,10438546.14,,34360699,,87495054.68,,5,5,4,5,False
2023-11-14,2106725499,7,358103.43,,33476085,,62752309.03,,1,5,0,0,False
2023-11-15,1271241599,8,248060.22,,98750166,,52722700.83,,4,5,4,1,False
2023-11-18,2108469707,5,61994854.78,,30950437,,86639286.21,,5,4,2,2,False
2023-11-14,2575471002,10,,20835236.7,,18597990,,32910137.57,5,4,4,4,True
2023-11-16,3265662287,7,,9671446.36,,82131902,,23430188.04,5,4,3,0,True
2023-11-19,1364678814,0,,1672680.01,,63987818,,52424541.62,4,0,3,0,True
2023-11-14,3073805347,4,11046265.1,,9994511,,34534008.22,,3,0,5,3,False
2023-11-18,1711192946,9,20185254.64,,50066714,,38496760.62,,0,3,3,0,False
2023-11-19,2408482760,10,11345776.52,,29330184,,2940744.38,,2,0,0,0,False
2023-11-16,1468922184,6,,17660452.07,,54092771,,95102829.81,0,1,0,1,True
2023-11-16,2706307529,5,36092505.91,,75804245,,58153689.22,,5,0,3,4,False
2023-11-16,1566770178,8,90101428.0,,68273782,,62818852.01,,2,1,1,4,False
2023-11-19,2490867521,0,,89667409.41,,19198167,,36184603.07,5,4,2,1,True
2023-11-14,2865475875,2,11187359.14,,38253780,,18958393.17,,1,4,2,3,False
2023-11-13,3604660123,0,358517.1,,55049536,,17792923.31,,0,0,0,2,False
2023-11-13,3970824385,9,96260168.57,,41570147,,33189008.75,,2,2,4,0,False
2023-11-16,1520110437,6,,12331647.38,,44390785,,89110692.56,3,3,2,5,True
2023-11-18,2671007583,0,27210869.17,,68709990,,7500007.43,,3,5,2,5,False
2023-11-18,1850821463,2,28519206.86,,47060535,,99475567.44,,5,5,2,3,False
2023-11-14,2318207855,7,7980944.8,,71030045,,66045942.43,,3,0,1,1,False
2023-11-16,3043837977,1,,6286782.57,,51330654,,35235429.54,0,2,5,3,True
2023-11-19,3665322887,4,57876827.91,,66484754,,13486787.83,,0,2,5,5,False
2023-11-17,1108527710,1,24064811.49,,50554624,,77017168.39,,0,3,3,1,False
2023-11-16,1387950724,8,27363080.36,,18183169,,36271318.59,,5,3,4,2,False
2023-11-18,3044850303,0,,20750560.19,,99140689,,13721272.78,2,0,1,1,True
2023-11-13,2615409408,4,,341680.55,,64418923,,72963300.56,5,4,4,3,True
2023-11-15,1746687451,9,,40147000.73,,94816584,,45741311.37,4,1,1,3,True
2023-11-17,1639280926,1,64124704.06,,51466485,,48467626.69,,5,0,3,4,False
2023-11-13,1861182138,6,,98530205.48,,46928146,,23654729.83,2,3,3,5,True
2023-11-18,3452957591,5,307108.39,,31592768,,8611928.57,,1,2,2,2,False
2023-11-14,2803104677,4,,40656315.99,,38579615,,91214809.07,5,5,3,5,True
2023-11-15,2124048226,10,38709748.62,,26771443,,2657662.8,,3,1,1,3,False
2023-11-18,3942116233,8,18113155.01,,93027207,,84471346.83,,0,0,3,0,False
2023-11-15,2707311027,8,44612991.42,,31331434,,74879648.78,,4,2,1,5,False
2023-11-15,3846947580,6,95642632.17,,33553900,,94635746.35,,0,3,5,0,False
2023-11-14,1335628302,4,5402078.3,,5418471,,55772549.63,,4,0,0,4,False
2023-11-14,2015271282,8,,57077554.51,,88928566,,82714642.27,5,2,1,0,True
2023-11-19,1842015501,10,,50414158.7,,57453808,,777631.36,0,1,5,0,True
2023-11-17,1972329959,1,85036605.68,,60348989,,66819913.86,,4,2,5,4,False
2023-11-19,3675433005,9,,7464794.52,,80681355,,33060439.97,0,5,0,3,True
2023-11-18,2349440511,6,74683221.2,,38286578,,33758762.91,,4,1,2,2,False
2023-11-14,1877985012,3,81630818.24,,76721846,,35650367.9,,1,0,3,2,False
2023-11-19,3874925909,5,94612184.05,,46553391,,40904706.2,,0,0,4,1,False
2023-11-13,3796526260,8,82893082.08,,38799052,,46089087.17,,4,0,3,0,False
2023-11-16,3058135442,2,90498704.83,,23491999,,51187731.24,,4,2,4,4,False
2023-11-19,1687180656,6,,11798763.61,,23402360,,86839956.94,0,3,1,3,True
2023-11-13,2588495494,5,,30743555.47,,83877724,,78702092.16,4,3,3,5,True
2023-11-17,2528339416,3,,57180358.07,,29944911,,23325060.42,4,5,3,5,True
2023-11-15,3495399350,5,,57891062.99,,44274204,,2259573.12,4,2,5,5,True
2023-11-18,3927325130,3,91366294.99,,99278006,,57878032.62,,5,2,3,0,False
2023-11-19,1964040372,9,45842860.19,,14660370,,13798406.31,,2,2,4,2,False
2023-11-16,3234443583,4,90325976.3,,88779668,,49000309.3,,4,0,5,4,False
2023-11-17,3983525048,3,67980567.47,,15665927,,29468388.25,,0,3,4,0,False
2023-11-15,2062944253,5,,68904268.35,,8304048,,47774329.45,4,5,1,1,True
2023-11-16,2649805811,3,75205371.72,,41099678,,48817534.19,,0,4,1,0,False
2023-11-18,1569998400,9,32966400.14,,28747688,,98574198.25,,1,1,3,4,False
2023-11-16,1453855979,0,57700345.32,,65337025,,50004273.25,,4,2,0,5,False
2023-11-19,1192080003,9,,80926103.29,,84405010,,56487146.54,3,1,5,3,True
2023-11-13,1187568100,4,,36891718.86,,52086268,,66990813.27,1,3,1,1,True
2023-11-13,1386388106,7,33448822.94,,413661,,12350662.66,,2,5,2,3,False
2023-11-15,2563668531,5,,47924373.57,,55332121,,69630167.75,1,0,2,2,True
2023-11-13,3169793098,1,89616723.4,,20821144,,32203589.82,,3,4,3,3,False
2023-11-14,2741327833,3,17594920.52,,5941977,,59731920.67,,4,2,0,5,False
2023-11-17,2883429318,6,,83287999.65,,10182736,,17054064.86,4,1,3,0,True
2023-11-19,3747673182,3,90633772.19,,98561597,,81803393.82,,2,3,5,5,False
2023-11-13,2242817379,5,6504217.67,,86391896,,3514504.79,,3,4,0,1,False
2023-11-19,2714240887,1,,17058850.57,,9743904,,98345164.66,5,5,1,5,True
2023-11-14,3903578351,5,,55326802.92,,15758085,,75705636.82,2,5,2,1,True
2023-11-15,1725563492,7,,92247841.36,,69494658,,68352257.59,3,0,2,3,True
2023-11-15,3552209472,10,,18136558.67,,29021341,,16473980.4,1,3,0,0,True
2023-11-13,3070215093,3,,15626192.39,,88594609,,68510803.62,4,2,2,3,True
2023-11-18,3503338138,9,,93077132.6,,21007181,,75825488.11,2,5,1,3,True
2023-11-19,1846119332,1,,89278466.86,,55642913,,31984608.49,5,4,5,2,True
2023-11-14,3492953481,10,91865423.33,,72911880,,79794428.75,,2,3,5,0,False
2023-11-15,2067783302,6,,88286088.91,,39109080,,22465987.45,2,4,1,0,True
2023-11-17,1375578426,9,,30383654.96,,75630102,,90263641.14,2,4,2,4,True
2023-11-15,3136017361,0,,9963686.88,,7672575,,6198534.41,2,1,4,4,True
2023-11-14,2053255583,0,,75072842.03,,83506979,,25388464.19,0,2,0,2,True
2023-11-17,3451507870,5,96330771.24,,37172358,,77708456.98,,3,4,4,2,False
2023-11-19,3838462775,6,,37260856.7,,91479435,,36265941.6,5,1,5,3,True
2023-11-14,1384923726,9,,60584197.13,,67735574,,77489633.98,1,5,1,5,True
2023-11-15,1773147128,1,50140051.25,,91980220,,70930733.42,,2,3,0,5,False
2023-11-19,2226314573,6,,81374082.06,,78192393,,24676092.08,5,2,2,2,True
2023-11-13,3785278397,6,,11661556.5,,26557508,,35004106.88,3,4,2,0,True
2023-11-17,1485501106,6,,62379345.39,,24791131,,7877110.45,2,3,1,4,True
2023-11-19,2129935678,6,,97134348.93,,42585118,,24849343.59,4,0,0,3,True
2023-11-17,1661405075,5,,25076300.54,,15101833,,22236102.25,2,0,4,4,True
2023-11-15,3192080636,2,,49491549.27,,70643004,,69566521.75,2,0,5,4,True
2023-11-15,2196673504,4,9395189.72,,45855197,,79476072.82,,0,1,3,2,False
2023-11-17,1531392811,7,99804524.96,,93343987,,52217624.34,,5,2,2,2,False
2023-11-19,3240784082,3,70910138.98,,4675280,,48262135.6,,5,4,2,1,False
2023-11-17,3688522694,9,67825443.43,,34951469,,55465079.19,,3,3,4,4,False
2023-11-19,2001907013,3,,64032691.06,,20116718,,3223202.82,2,3,3,3,True
2023-11-17,3826610010,2,57151218.64,,44004171,,37939006.97,,2,1,3,4,False
2023-11-18,1683947207,3,41637217.6,,59264228,,93766970.3,,2,0,0,2,False
2023-11-16,3428821693,5,,6576621.64,,24650318,,81464921.66,5,2,3,1,True
2023-11-15,2050027997,3,49034478.72,,98069610,,4919103.22,,3,3,0,2,False
2023-11-13,2934988308,5,,58415232.61,,76606999,,79052181.88,4,2,2,1,True
2023-11-15,2312000318,10,,43092278.52,,37841843,,24080860.38,1,0,2,0,True
2023-11-18,3291427850,8,,36557793.89,,10772677,,46879650.94,0,2,3,5,True
2023-11-13,1309271106,3,94568743.12,,15527405,,51823253.08,,3,2,3,0,False
2023-11-14,3227419910,0,,94140083.76,,56603044,,88242408.5,3,3,0,1,True
2023-11-13,1119753962,5,,89603673.44,,13394461,,63614574.21,3,1,3,3,True
2023-11-15,2807330542,8,33326826.67,,95822395,,44116269.45,,1,5,1,3,False
2023-11-17,1176804105,5,,87689124.76,,42997674,,95052688.85,1,5,1,1,True
2023-11-16,2096563173,3,45846283.52,,54471932,,21628597.38,,2,3,5,4,False
2023-11-18,3412499886,3,68581432.4,,6612912,,7218871.21,,1,4,4,2,False
2023-11-16,2831668638,6,60082827.13,,18438923,,96561772.26,,3,4,0,4,False
2023-11-16,3249890958,4,73154325.15,,68535240,,18692514.04,,2,4,4,4,False
2023-11-14,2777992452,1,,75137055.57,,56102513,,61337149.18,1,5,5,2,True
2023-11-17,2078847673,0,,52087991.48,,93219326,,71633868.21,4,2,5,3,True
2023-11-13,2945833592,7,72459255.33,,15043685,,13117148.4,,0,2,2,1,False
2023-11-17,3729728805,4,58035183.87,,79329228,,14728095.54,,1,4,0,4,False
2023-11-14,1672659892,6,,14492532.89,,64163148,,68877126.27,2,3,3,2,True
2023-11-19,3369995277,1,,55520683.5,,87164145,,41934757.59,5,5,2,4,True
2023-11-14,2400028655,1,,53300227.11,,49801458,,33393729.26,3,3,5,0,True
2023-11-15,2883589547,1,,7411474.86,,31124851,,3963425.27,3,5,4,1,True
2023-11-17,3444276922,3,33527757.31,,66144554,,84603554.82,,2,3,1,3,False
2023-11-15,2794705321,0,,57134582.5,,90052270,,93874774.36,3,0,2,4,True
2023-11-19,3975543603,2,,22983938.76,,4312319,,49795484.68,3,2,4,3,True
2023-11-15,1834885096,4,,23040421.2,,49755,,98120577.44,3,2,3,4,True
2023-11-16,2353673922,7,,18057988.97,,15599361,,83764458.15,0,4,2,3,True
2023-11-15,1403642636,10,,76704527.11,,91766588,,89634620.56,1,2,4,3,True
2023-11-16,1942043362,6,,23158216.88,,41989981,,37585654.15,2,5,1,4,True
2023-11-16,2422449483,5,,14492968.77,,30300894,,30728125.52,1,0,4,1,True
2023-11-14,1271928659,3,,68737507.23,,16736796,,28977444.47,4,2,5,5,True
2023-11-13,2142819107,3,91880717.61,,35257618,,54717050.95,,3,0,1,1,False
2023-11-19,2874713896,2,,32923418.89,,12441378,,89907593.66,0,5,0,2,True
2023-11-14,3006903886,8,29840074.47,,47225022,,83926790.46,,4,2,1,5,False
2023-11-14,3532676076,2,60084900.51,,61257990,,83641420.22,,3,2,4,4,False
2023-11-17,3074112115,2,,76379627.84,,79070672,,72805126.35,2,1,5,1,True
2023-11-18,3721495040,5,,15096228.81,,58204706,,56085646.34,4,4,5,1,True
2023-11-18,1276986306,9,,16288967.39,,37680055,,34567605.56,0,1,1,3,True
2023-11-15,2312854015,8,17610740.94,,17550467,,54511878.2,,5,3,4,4,False
2023-11-15,2501575971,2,82866353.06,,3918116,,77444785.92,,4,2,0,5,False
2023-11-15,2815420588,2,,49400245.73,,67225416,,79724855.19,0,0,2,1,True
2023-11-17,2674725602,4,,18365391.35,,71997424,,98694433.51,4,5,2,3,True
2023-11-17,1583599694,3,5538894.19,,19548778,,31203883.91,,0,5,1,1,False
2023-11-16,1004094082,8,51940434.28,,45331234,,65367772.21,,5,4,1,3,False
2023-11-14,2114134840,9,79765171.2,,55569744,,3061986.74,,2,1,4,1,False
2023-11-14,3789338161,0,,28823201.14,,19041470,,83213007.87,5,4,1,5,True
2023-11-16,2949155719,5,,93077676.24,,47676532,,17854384.12,5,0,2,2,True
2023-11-14,1192514869,2,61855992.63,,92545784,,53495692.1,,3,0,5,0,False
2023-11-15,2807688142,5,59187531.17,,58901470,,8489117.53,,2,1,5,2,False
2023-11-18,1202661357,3,44373990.27,,76645858,,57770810.37,,0,1,5,0,False
2023-11-16,3844054009,5,15228591.83,,61037997,,9791708.79,,0,0,0,1,False
2023-11-18,3432285293,9,95827500.04,,98111352,,88371197.61,,5,2,2,4,False
2023-11-13,1261532916,9,15800681.4,,60894754,,58161547.46,,3,2,5,3,False
2023-11-15,2284592257,1,74177230.43,,69135866,,44913887.69,,5,0,5,1,False
2023-11-18,3258106754,3,76401659.88,,68049069,,97745761.75,,5,0,1,1,False
2023-11-13,1906657138,1,62175670.68,,48020876,,67248235.66,,3,3,1,5,False
2023-11-13,2634689212,7,74521508.23,,55844494,,23298582.84,,5,2,2,4,False
2023-11-19,3456067827,6,,1064964.67,,7110981,,98192729.87,0,2,0,2,True
2023-11-15,3032669885,2,,85211160.42,,26689383,,61065961.84,1,1,0,4,True
2023-11-18,1831602455,6,46161972.58,,88835087,,41068739.2,,2,2,3,1,False
2023-11-18,1571642586,5,,4568026.3,,20473184,,38626480.15,3,0,5,5,True
2023-11-14,3367201093,8,,57496909.43,,3919981,,96094721.76,3,3,4,5,True
2023-11-14,3386560675,5,38303355.88,,80438176,,79034554.71,,5,3,5,1,False
